policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
seven_day_first,31,6,8,6490,6490,0,4780,4780,0,0,0.004925964387620969,0.7002030768356766,0.9695277112448056
weighted_score,31,6,8,6792,6792,0,4960,4960,0,0,0.020056929156647033,0.7324143830237234,0.9712357453867078
reset_aware_weekly_priority,31,6,8,6886,6886,0,5092,5092,0,0,0.01765401299314651,0.7404032283047496,0.9722749215311604
five_hour_first,32,7,16,15546,14320,1226,11182,10025,0,0,0.0,1.0,0.9189286234564504
seven_day_first,32,7,16,15371,14320,1051,11081,10100,0,0,0.0,1.0,0.9300046623519733
weighted_score,32,7,16,15280,14320,960,11052,10181,0,0,0.0,1.0,0.9363186260855395
reset_aware_weekly_priority,32,7,16,15114,14320,794,10719,10014,0,0,0.0,1.0,0.9467833827589858
five_hour_first,33,2,14,8826,3847,4979,6018,2481,268,2,0.0,1.0,0.3092951081379143
seven_day_first,33,2,14,8816,3847,4969,5958,2492,532,172,0.0,1.0,0.3585175200781061
weighted_score,33,2,14,8748,3847,4901,6113,2578,372,92,0.0,1.0,0.3503581840039542
reset_aware_weekly_priority,33,2,14,9044,3847,5197,6132,2517,416,109,0.0,1.0,0.3396757194017866
five_hour_first,34,5,8,7154,7154,0,5412,5412,0,0,0.06998878956121553,0.9354857222286398,0.9865496932667425
seven_day_first,34,5,8,7464,7464,0,5664,5664,0,0,0.00489938791257471,0.9538738503628984,0.9948974462450324
weighted_score,34,5,8,7099,7099,0,5394,5394,0,0,0.01107608286941971,0.9069390519324013,0.9895862969062982
reset_aware_weekly_priority,34,5,8,7217,7217,0,5405,5405,0,0,0.027073268460580332,0.9186548030082011,0.9891581534547621
five_hour_first,35,8,13,4857,4857,0,2898,2898,0,0,0.060391299792984146,0.36120200268971564,0.9300810702896731
seven_day_first,35,8,13,4905,4905,0,2881,2881,0,0,0.0024028916090591363,0.3512879843791235,0.9348885092770065
weighted_score,35,8,13,4821,4821,0,2776,2776,0,0,0.020437853997509053,0.345480640225937,0.9325042786228428
reset_aware_weekly_priority,35,8,13,4842,4842,0,2789,2789,0,0,0.04576922495588193,0.344517703883215,0.9298748478927333
five_hour_first,36,2,6,3592,3188,404,2584,2216,0,0,0.0,1.0,0.8856657725802782
seven_day_first,36,2,6,3238,3188,50,2384,2364,0,0,0.0,1.0,0.9870935431184217
weighted_score,36,2,6,3332,3188,144,2408,2283,0,0,0.0,1.0,0.9567703244088334
reset_aware_weekly_priority,36,2,6,3255,3188,67,2363,2310,0,0,0.0,1.0,0.9799841189666862
five_hour_first,37,8,16,10664,10664,0,7661,7661,0,0,0.12157848319821263,0.7180822791898086,0.9596503795991597
seven_day_first,37,8,16,10516,10516,0,7476,7476,0,0,0.006608989278734901,0.6851841685785711,0.9678575179299836
