policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
reset_stagger_pressure,40,focused,staggered_reset,2,12,17757,3102,14655,12141,1721,1613,116,0.0,1.0,0.06850929521792712
five_hour_first,41,focused,staggered_reset,3,22,49035,4481,44554,36428,2504,6476,4,0.0,1.0,-0.018754173067074387
seven_day_first,41,focused,staggered_reset,3,22,48508,4481,44027,36014,2450,7419,574,0.0,1.0,-0.006723826754996082
weighted_score,41,focused,staggered_reset,3,22,48903,4481,44422,36203,2481,6827,267,0.0,1.0,-0.012859769924438297
reset_aware_weekly_priority,41,focused,staggered_reset,3,22,48985,4481,44504,36392,2502,6763,166,0.0,1.0,-0.01509647057441027
reset_stagger_pressure,41,focused,staggered_reset,3,22,49180,4481,44699,36817,2529,6794,393,0.0,1.0,-0.01037046106255296
five_hour_first,42,focused,staggered_reset,2,13,33345,2264,31081,27070,1429,4942,0,0.0,1.0,-0.03927536823138872
seven_day_first,42,focused,staggered_reset,2,13,33973,2264,31709,27604,1429,4959,79,0.0,1.0,-0.038019631042435165
weighted_score,42,focused,staggered_reset,2,13,34531,2264,32267,27850,1442,4987,34,0.0,1.0,-0.04013800347812954
reset_aware_weekly_priority,42,focused,staggered_reset,2,13,34867,2264,32603,28185,1464,5075,24,0.0,1.0,-0.04085228940220348
reset_stagger_pressure,42,focused,staggered_reset,2,13,34490,2264,32226,27570,1433,5070,61,0.0,1.0,-0.03925151908731725
five_hour_first,43,focused,same_reset,2,10,33601,2658,30943,26731,1359,2521,1,0.0,1.0,-0.03185718560194056
seven_day_first,43,focused,same_reset,2,10,33930,2658,31272,27253,1398,2758,225,0.0,1.0,-0.020102167479773697
weighted_score,43,focused,same_reset,2,10,33875,2658,31217,26980,1369,2575,125,0.0,1.0,-0.02510766288624694
reset_aware_weekly_priority,43,focused,same_reset,2,10,34010,2658,31352,27113,1394,2706,126,0.0,1.0,-0.025454469417634296
