policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,17,focused,staggered_reset,3,25,46720,6025,40695,38021,3444,3207,28,0.0447278911564627,0.0,1.0,0.015333678314905952
seven_day_first,17,focused,staggered_reset,3,25,45803,6025,39778,37139,3455,6589,1289,0.0460884353741497,0.0,1.0,0.040314099839172
weighted_score,17,focused,staggered_reset,3,25,44594,6025,38569,36028,3537,3731,613,0.04869614512471628,0.0,1.0,0.040726244366305175
reset_aware_weekly_priority,17,focused,staggered_reset,3,25,45496,6025,39471,36882,3525,4389,460,0.051530612244897515,0.0,1.0,0.03160043714791874
reset_stagger_pressure,17,focused,staggered_reset,3,25,45834,6025,39809,37411,3440,3846,533,0.044387755102041,0.0,1.0,0.032818408259318504
reset_near_expiry_reserve,17,focused,staggered_reset,3,25,45553,6025,39528,37174,3535,3468,475,0.04790249433106559,0.0,1.0,0.03463176937285947
five_hour_first,18,focused,staggered_reset,2,19,40478,3151,37327,32885,1793,3549,10,0.03222789115646259,0.0,1.0,-0.029884664118520865
seven_day_first,18,focused,staggered_reset,2,19,40183,3151,37032,32886,1815,7131,442,0.033758503401360544,0.0,1.0,-0.021985422552955325
weighted_score,18,focused,staggered_reset,2,19,40811,3151,37660,33563,1793,4820,201,0.02857142857142857,0.0,1.0,-0.02652790813893552
reset_aware_weekly_priority,18,focused,staggered_reset,2,19,40757,3151,37606,33501,1794,4922,53,0.033843537414965985,0.0,1.0,-0.02929432312988145
reset_stagger_pressure,18,focused,staggered_reset,2,19,41724,3151,38573,33983,1793,5454,179,0.03214285714285714,0.0,1.0,-0.028267794225594084
reset_near_expiry_reserve,18,focused,staggered_reset,2,19,40781,3151,37630,33436,1793,5101,369,0.03784013605442177,0.0,1.0,-0.02127232481754948
five_hour_first,19,focused,same_reset,2,19,21127,3237,17890,16930,1863,1180,5,0.06394557823129252,0.0,1.0,0.0387462545102048
seven_day_first,19,focused,same_reset,2,19,20916,3237,17679,16553,1795,3110,392,0.06045918367346939,0.0,1.0,0.05328311960462276
